direction_id,direction,segment_id,segment_label,upstream_stop_id,downstream_stop_id,day_type,time_band,n,service_days,distance_m,scheduled_runtime_s,median_s,p25_s,p75_s,p90_s,p95_s,max_s,median_speed_mph,baseline_s,baseline_method,baseline_n,slowdown_pct,schedule_overrun_pct,median_ci_low_s,median_ci_high_s,is_target,target_label
0,Fruitvale-bound,2487-5224,19th → 17th,2487,5224,Saturday,PM peak,77,7,202.02000000000044,57.0,61.141287,51.154769,71.927745,93.36821900000001,103.51664980000001,117.596619,7.391172690231414,45.557679,weekday 5–7 a.m. median,318,34.20632556807821,7.265415789473684,58.794193,63.456042,False,
0,Fruitvale-bound,2487-5224,19th → 17th,2487,5224,Sunday / holiday,AM peak,69,9,202.02000000000044,31.0,56.355538,45.820354,73.133191,84.1458468,93.72411799999999,160.420309,8.018835890094794,45.557679,weekday 5–7 a.m. median,318,23.701512537546087,81.79205806451616,45.552404,66.2235,False,
0,Fruitvale-bound,2487-5224,19th → 17th,2487,5224,Sunday / holiday,Early AM,17,9,202.02000000000044,31.0,40.910797,31.080541,46.522185,55.7417958,58.1230076,58.391518,11.04612581172645,45.557679,weekday 5–7 a.m. median,318,-10.199997238665294,31.970312903225807,32.4288815,43.803301,False,
0,Fruitvale-bound,2487-5224,19th → 17th,2487,5224,Sunday / holiday,Evening,83,9,202.02000000000044,38.0,57.740894,44.9172765,69.8493885,102.65047759999995,157.78822879999967,264.164641,7.826442914444675,45.557679,weekday 5–7 a.m. median,318,26.742396161138938,51.94972105263158,47.8169335,61.0966795,False,
0,Fruitvale-bound,2487-5224,19th → 17th,2487,5224,Sunday / holiday,Late night,5,5,202.02000000000044,34.0,40.937076,39.43886,53.903828,61.269952399999994,63.725327199999995,66.180702,11.03903490127143,45.557679,weekday 5–7 a.m. median,318,-10.14231431763678,20.403164705882347,39.36428,66.180702,False,
0,Fruitvale-bound,2487-5224,19th → 17th,2487,5224,Sunday / holiday,Midday,194,9,202.02000000000044,49.0,55.463142000000005,44.97547625,69.90203525,86.84965400000003,98.68377014999999,153.841,8.147864712465296,45.557679,weekday 5–7 a.m. median,318,21.742685793979998,13.190085714285726,53.26389,57.001208,False,
0,Fruitvale-bound,2487-5224,19th → 17th,2487,5224,Sunday / holiday,PM peak,111,9,202.02000000000044,53.0,60.33725,50.5805385,70.5362215,88.712467,106.417606,149.461337,7.489665351337706,45.557679,weekday 5–7 a.m. median,318,32.44144856457678,13.843867924528297,56.495315500000004,68.435374,False,
0,Fruitvale-bound,2487-5224,19th → 17th,2487,5224,Weekday,AM peak,510,44,202.02000000000044,49.0,60.404262,47.909099499999996,71.9771945,85.0379978,92.84417354999995,197.588032,7.481370616497477,45.557679,weekday 5–7 a.m. median,318,32.58854122046033,23.274004081632647,59.00446650000001,63.83392756874999,False,
0,Fruitvale-bound,2487-5224,19th → 17th,2487,5224,Weekday,Early AM,160,44,202.02000000000044,34.0,41.412454,34.6244005,51.5814325,61.6489432,69.25524504999997,94.391584,10.91231818840523,45.557679,weekday 5–7 a.m. median,318,-9.098850272859604,21.801335294117628,40.282165500000005,44.738248999999996,False,
0,Fruitvale-bound,2487-5224,19th → 17th,2487,5224,Weekday,Evening,651,44,202.02000000000044,42.0,53.192953,42.4021965,67.54868149999999,82.285803,90.31878850000001,159.004388,8.495595473332735,45.557679,weekday 5–7 a.m. median,318,16.75957636033214,26.649888095238094,50.621274899999996,57.49067362499998,False,
